Name,Est Dia in M(min),Est Dia in M(max),Close Approach Date,Relative Velocity km per sec,Miss Dist.(kilometers),Orbiting Body,Hazardous
3102762,40.23045798,89.95803882,1996-06-15,11.00604019,50632012,Earth,FALSE
3768613,84.05334021,187.9489824,1996-06-15,15.76937557,72734736,Earth,FALSE
2052381,265.8,594.3468684,1996-06-22,6.512148568,71047256,Earth,FALSE
3283835,221.0828104,494.3561926,1996-06-22,10.20313158,12809288,Earth,FALSE
3550466,20.16299194,45.08582062,1996-06-22,4.80017647,8955735,Earth,FALSE
3776033,132.6034968,296.5104328,1996-06-22,13.8133903,41845276,Earth,FALSE
2469737,221.0828104,494.3561926,1996-06-22,10.20313012,12809289,Earth,FALSE
3610527,231.5021222,517.6544822,1996-07-08,11.28687705,33903420,Earth,TRUE
3739152,183.8886721,411.187571,1996-07-08,28.95600839,52117492,Earth,FALSE
3742058,201.6299194,450.8582062,1996-07-08,8.651590667,27575540,Earth,FALSE
2053409,483.6764882,1081.533507,1996-07-15,14.28368254,28807414,Earth,FALSE
2215442,530.3407233,1185.877909,1996-07-15,18.8508513,33022334,Earth,FALSE
3312033,152.9519353,342.0109247,1996-07-15,16.33617524,37646284,Earth,FALSE
3672904,211.1324448,472.1064988,1996-07-15,7.989587028,50523108,Earth,FALSE
3735995,9.650614696,21.57943048,1996-07-15,8.15649753,72657440,Earth,FALSE
2469929,167.7084622,375.0075218,1996-07-15,16.33618898,37646276,Earth,FALSE
3031184,461.9074603,1032.856481,1996-07-22,38.40376815,74313760,Earth,TRUE
3605335,167.7084622,375.0075218,1996-08-08,10.87652213,33491848,Earth,FALSE
3661368,160.160338,358.129403,1996-08-08,25.77439426,6954526,Earth,TRUE
3726020,211.1324448,472.1064988,1996-08-08,10.41282738,13515868,Earth,FALSE
3748472,11.08038821,24.77650126,1996-08-08,9.994683899,27843766,Earth,FALSE
2373503,265.8,594.3468684,1996-08-15,6.762149439,69102648,Earth,FALSE
3685273,11.60259082,25.94418179,1996-08-15,20.45613575,53104716,Earth,FALSE
3283679,152.9519353,342.0109247,1996-08-22,22.45388967,51863844,Earth,FALSE
3508112,121.4940408,271.6689341,1996-08-22,4.420739317,38523372,Earth,TRUE
3773593,20.35893129,45.52395431,1996-08-22,7.928890614,21310594,Earth,FALSE
3384030,46.19074603,103.2856481,1996-09-08,6.289760801,23756480,Earth,FALSE
3432642,192.5550782,430.5662442,1996-09-08,18.89432695,47355656,Earth,FALSE
3461173,667.6594135,1492.931834,1996-09-08,7.265246092,28027668,Earth,FALSE
3645649,30.51792326,68.24015094,1996-09-08,8.115731138,12311839,Earth,FALSE
3684006,46.19074603,103.2856481,1996-09-08,24.52374455,71128488,Earth,FALSE
2481984,667.6594135,1492.931834,1996-09-08,7.265250342,28027656,Earth,FALSE
2429736,231.5021222,517.6544822,1996-09-15,14.23538375,59854608,Earth,FALSE
3607400,483.6764882,1081.533507,1996-09-15,10.657203,54951616,Earth,FALSE
3690061,26.58,59.43468684,1996-09-15,11.41550538,32271954,Earth,FALSE
3635077,66.76594135,149.2931834,1996-09-22,5.493440713,9547403,Earth,FALSE
3685269,96.50614696,215.7943048,1996-09-22,0.873948344,73575536,Earth,FALSE
3666628,242.4124811,542.0507863,1996-10-08,24.78308388,57899388,Earth,FALSE
3710020,80.27031673,179.4898848,1996-10-08,13.74252349,54237316,Earth,FALSE
3719227,15.29519353,34.20109247,1996-10-08,8.101973199,24106666,Earth,FALSE
3729840,133.2155667,297.8790628,1996-10-08,3.796655783,58388412,Earth,FALSE
3767934,27.83267681,62.23575734,1996-10-08,10.42214982,34727152,Earth,FALSE
3062448,242.4124811,542.0507863,1996-10-15,14.11779808,44347540,Earth,FALSE
3704267,20.16299194,45.08582062,1996-10-15,10.65758757,37168724,Earth,FALSE
3752574,10.10543415,22.59643771,1996-10-15,8.074475349,33781084,Earth,FALSE
2065679,350.3926411,783.5017643,1996-10-22,5.970251637,22513096,Earth,TRUE
3279740,183.8886721,411.187571,1996-10-22,28.43142689,62157284,Earth,TRUE
3458581,840.5334021,1879.489824,1996-10-22,24.52990141,47891332,Earth,FALSE
3550075,8.027031673,17.94898848,1996-10-22,15.22961114,8725992,Earth,FALSE
3735678,58.15070396,130.028927,1996-10-22,16.71907126,37893864,Earth,FALSE
3346470,116.0259082,259.4418179,1996-10-22,4.386855641,47091452,Earth,FALSE
3774566,29.53622424,66.04500521,1996-10-22,14.09411199,28055342,Earth,FALSE
2363505,637.6097899,1425.738833,1996-11-08,21.65529733,61794696,Earth,TRUE
3393169,265.8,594.3468684,1996-11-08,25.58073894,58971864,Earth,TRUE
3599867,73.20739893,163.6967205,1996-11-08,7.13772866,36623348,Earth,FALSE
3761196,152.9519353,342.0109247,1996-11-08,12.09930917,36304420,Earth,FALSE
3763275,17.56123185,39.26810818,1996-11-08,12.91011468,15652061,Earth,FALSE
2003362,581.5070396,1300.28927,1996-11-15,11.24163261,66573808,Earth,TRUE
2451157,167.7084622,375.0075218,1996-11-22,4.778850099,47889728,Earth,TRUE
3263449,152.9519353,342.0109247,1996-11-22,13.2562339,36596396,Earth,TRUE
3733300,76.65755735,171.4115092,1996-11-22,18.39653068,47980812,Earth,FALSE
3551168,6.089126221,13.61570015,1996-12-08,3.900040382,14132161,Earth,FALSE
3579081,253.8370294,567.5968529,1996-12-08,6.275831773,21298808,Earth,FALSE
3655869,8.405334021,18.79489824,1996-12-08,9.021500345,59549200,Earth,FALSE
3736504,15.29519353,34.20109247,1996-12-08,16.6243619,56995192,Earth,FALSE
3736387,167.7084622,375.0075218,1996-12-08,10.85225532,43346096,Earth,FALSE
2155338,211.1324448,472.1064988,1996-12-15,19.99177998,37966208,Earth,TRUE
3102683,101.0543415,225.9643771,1996-12-15,11.73929409,48683492,Earth,TRUE
3363352,139.4938229,311.9176705,1996-12-15,15.94108041,62674492,Earth,FALSE
3574100,167.7084622,375.0075218,1996-12-15,10.21962797,13930307,Earth,TRUE
3739077,12.72198785,28.44722965,1996-12-15,3.020951207,11215596,Earth,FALSE
3363696,55.53349116,124.1766613,1996-12-15,7.717078967,9156581,Earth,FALSE
3603128,92.16265485,206.0819612,1996-12-15,18.43969686,67241576,Earth,FALSE
2026379,667.6594135,1492.931834,1996-12-22,15.97869858,45774320,Earth,FALSE
2376848,350.3926411,783.5017643,1996-12-22,23.36561961,69215600,Earth,FALSE
3597095,152.9519353,342.0109247,1996-12-22,9.253415572,72683488,Earth,TRUE
3745113,16.0160338,35.8129403,1996-12-22,16.351481,61480924,Earth,FALSE
3752441,30.51792326,68.24015094,1996-12-22,5.676601945,25748890,Earth,FALSE
2066146,3346.223745,7482.383761,1997-01-08,11.56792646,64580236,Earth,FALSE
2399611,366.9061375,820.4270649,1997-01-15,7.860510876,54154588,Earth,FALSE
3479127,402.3045798,899.5803882,1997-01-15,15.03828692,15019872,Earth,TRUE
3722211,253.8370294,567.5968529,1997-01-15,18.19291614,40979784,Earth,FALSE
